Predicted,Original,Error(%)
2.337849249517324,2.0,14.451284640661791
1.5756890592226214,1.0,36.53570200624748
1.534135725546762,2.0,30.366561882078923
1.7919827043762002,2.0,11.608220052336488
1.4858008838144852,1.0,32.69623063941733
1.9958323769243804,0.0,100.0
1.7519099303379282,2.0,14.161120121867073
1.9425046947127111,1.0,48.52007293872224
1.2937809220487166,1.0,22.707161393561996
0.0961915438069082,0.0,100.0
2.1753887153491807,2.8,28.71262870142085
1.775815456112601,2.0,12.624315387937695
1.0127194016435055,1.0,1.255965040549597
1.179611838465666,1.2,1.7283788505253632
1.362410396525556,2.0,46.79864489440455
1.1900938024577967,2.0,68.0539799358315
0.7943957034660801,0.8,0.7054792101049191
0.7943957034660801,2.0,151.76369802526227
1.154381761125852,1.0,13.373544725384926
0.9493216016011431,1.0,5.338380409060722
1.1180681620483266,1.4,25.21597944754707
1.1180681620483266,1.0,10.560014680323516
2.1590629201686244,4.0,85.26555954597178
1.0466706758987125,2.0,91.08207061239405
1.9640467085216076,3.0,52.74585818064293
2.3251115754238714,1.0,56.991311274268696
2.3251115754238714,3.0,29.026066177193904
0.8072858123741239,0.8,0.9025071743422824
0.23081427825267142,0.0,100.0
0.23081427825267142,0.6,159.94925640743182
1.4643271721756161,3.0,104.87224829289798
1.4643271721756161,2.0,36.58149886193199
1.8603287413733451,2.0,7.507880490173245
0.7415879805446587,1.4,88.78407373482119
1.2559318727112612,0.0,100.0
1.0153321381623244,1.1,8.33893251827114
1.2005211311513604,1.0,16.702840620477083
1.4002573611235747,2.0,42.830886344720824
1.5099821123260948,2.0,32.45190016980024
1.5099821123260948,3.3,118.54563528017039
0.9715711659704539,1.0,2.926068107543101
0.9118611890541035,0.6,34.2005113056303
0.9118611890541035,1.0,9.665814490616174
1.2239765395692321,0.5,59.14954381593207
1.8870460010672911,3.0,58.97863636091728
0.9743398254285237,1.0,2.6335959900018158
1.2284799678117055,1.0,18.59859125083639
0.5319189665934244,0.0,100.0
1.2494374688355883,1.0,19.963981796388033
1.2494374688355883,1.5,20.05402730541795
0.9045368286101927,0.0,100.0
1.0086228215085387,1.1,9.05959854792834
0.676652173828872,0.5,26.106791740470786
0.676652173828872,1.0,47.78641651905842
1.2077639334420722,0.6,50.32141767224102
0.7174797675432103,0.5,30.311623739287192
0.6150478391176775,0.9,46.330080809828274
0.7257983500370709,0.4,44.888273722367984
0.8096646778734696,1.0,23.507919676875794
0.9345394452613025,1.0,7.004579107989857
0.7842503721407813,1.0,27.510299710828747
1.2599864665515785,0.5,60.317034089387015
0.958865545500279,1.0,4.289908495800573
1.5963667024255528,1.0,37.35775129357314
1.5963667024255528,2.1,31.548722283496417
1.012868227074936,1.0,1.2704739600824724
0.830054012659008,0.0,100.0
0.830054012659008,0.9,8.426679020191221
0.972378469297502,1.0,2.840615210500621
